Date,Open,High,Low,Close
2017-06-15,1260.255,1266.41,1251.8,1254
2017-06-14,1265.855,1278.755,1257.46,1261.18
2017-06-13,1265.71,1268.8,1259.8,1265.85
2017-06-12,1266.55,1270.21,1263.225,1263.25
2017-06-11,1266.4,1266.4,1266.4,1266.4
2017-06-09,1280.1,1280.605,1265.105,1266.4
2017-06-08,1286.8,1289.005,1271.75,1278.65
2017-06-07,1294.41,1294.505,1283.3,1286.91
2017-06-06,1280.355,1298.75,1279.8,1298.75
2017-06-05,1279.91,1283.255,1278.16,1279.95
2017-06-02,1265.65,1279.98,1259.91,1279.98
2017-06-01,1268.755,1270.41,1261.855,1265.65
2017-05-31,1262.55,1273.505,1259.755,1268.6
2017-05-30,1266.91,1270.7,1259.605,1269.5
2017-05-29,1267.41,1271.45,1265.505,1271.45
2017-05-28,1267.05,1267.05,1267.05,1267.05
2017-05-26,1255.91,1269.505,1253.855,1267.05
2017-05-25,1258.16,1259.71,1254.105,1255.75
2017-05-24,1251.855,1258.91,1248.105,1258.2
2017-05-23,1260.505,1263.8,1250.855,1251.15
2017-05-22,1255.3,1262.605,1251.96,1260.45
2017-05-21,1255.55,1260.9,1255.55,1255.55
2017-05-19,1246.8,1256.46,1246.8,1255.55
2017-05-18,1260.16,1264.96,1245.95,1245.95
2017-05-17,1236.96,1260.91,1236.71,1260.745
2017-05-16,1231.41,1241.875,1230.505,1241.75
2017-05-15,1230.05,1237.25,1227.105,1230.71
2017-05-14,1233.25,1233.25,1233.25,1233.25
2017-05-12,1225.3,1233.25,1224.605,1233.25
2017-05-11,1219.355,1227.105,1217.71,1224.85
2017-05-10,1221.255,1225.46,1217.8,1219.15
2017-05-09,1226.8,1228.755,1214.755,1221.3
2017-05-08,1225.355,1236.16,1222.3,1222.3
2017-05-05,1228.96,1235.46,1221.2,1221.2
2017-05-04,1238.3,1241.3,1226.005,1227.75
2017-05-03,1256.355,1256.8,1236.91,1238.375
2017-05-02,1256.05,1257.71,1252.3,1254.6
2017-05-01,1268.16,1271.21,1254.41,1256.8
2017-04-30,1268.15,1268.15,1268.15,1268.15
2017-04-29,1268.15,1268.15,1268.15,1268.15
2017-04-28,1264.21,1268.505,1263.41,1268.15
2017-04-27,1269.1,1269.65,1261.505,1268.25
2017-04-26,1263.55,1272.375,1260.46,1272.25
2017-04-25,1276.105,1278.105,1262.41,1263.75
2017-04-24,1273.005,1278.875,1267.3,1278
2017-04-21,1281.755,1288.05,1278.755,1285
2017-04-20,1279.605,1286.75,1276.855,1286.75
2017-04-19,1289.755,1290.755,1277.005,1281.4
2017-04-18,1284.66,1292.255,1280.005,1289.65
2017-04-17,1290.96,1295.41,1281.855,1284.8
2017-04-14,1287.35,1288.75,1284.25,1285.69
2017-04-13,1285.41,1288.46,1282.16,1287.605
2017-04-12,1273.91,1286.755,1272.355,1286.6
2017-04-11,1255.2,1276.875,1253.3,1276.75
2017-04-10,1254.91,1256.71,1247.855,1254.73
2017-04-09,1254.05,1254.05,1254.05,1254.05
2017-04-08,1254.05,1254.05,1254.05,1254.05
2017-04-07,1251.8,1270.005,1250.755,1254.05
2017-04-06,1256.005,1259.005,1250.3,1253.55
2017-04-05,1256.05,1257.105,1244.105,1255.3
2017-04-04,1254.66,1261.105,1253.625,1253.75
2017-04-03,1249.125,1258.25,1244.71,1258.25
2017-04-02,1249.13,1249.13,1249.13,1249.13
2017-03-31,1244.005,1250.21,1240.05,1249.13
2017-03-30,1243.3,1243.3,1243.3,1243.3
2017-03-29,1251.125,1254.355,1247.71,1252.45
2017-03-28,1253.855,1258.46,1248.21,1256.15
2017-03-27,1248.855,1261.005,1248.855,1257.45
2017-03-26,1254.58,1254.58,1254.58,1254.58
2017-03-24,1244.96,1251.8,1241.21,1245.385
