Date,Open,High,Low,Close,Adj Close
2012-09-19,78.765999,79.199997,78.252998,78.769997,78.769997
2012-09-20,78.389999,78.440002,78.010002,78.397003,78.397003
2012-09-21,78.203003,78.358002,78.120003,78.199997,78.199997
2012-09-24,78.112999,78.150002,77.82,78.080002,78.080002
2012-09-25,77.860001,77.919998,77.650002,77.863998,77.863998
2012-09-26,77.726997,77.864998,77.580002,77.727997,77.727997
2012-09-27,77.684998,77.736,77.594002,77.697998,77.697998
2012-09-28,77.610001,77.962997,77.431,77.610001,77.610001
2012-10-01,77.959999,78.129997,77.765999,77.959,77.959
2012-10-02,78.047997,78.190002,77.966003,78.041,78.041
2012-10-03,78.200996,78.583,78.121002,78.214996,78.214996
2012-10-04,78.440002,78.711998,78.370003,78.415001,78.415001
2012-10-05,78.514,78.857002,78.279999,78.484001,78.484001
2012-10-08,78.691002,78.691002,78.080002,78.702003,78.702003
2012-10-09,78.289001,78.43,78.139,78.286003,78.286003
2012-10-10,78.212997,78.367996,78.158997,78.219002,78.219002
2012-10-11,78.07,78.573997,77.929001,78.074997,78.074997
2012-10-12,78.410004,78.519997,78.266998,78.402,78.402
2012-10-15,78.475998,78.836998,78.309998,78.468002,78.468002
2012-10-16,78.774002,78.953003,78.718002,78.789001,78.789001
2012-10-17,78.859001,78.859001,78.589996,78.824997,78.824997
2012-10-18,79.050003,79.443001,78.994003,79.059998,79.059998
2012-10-19,79.316002,79.405998,79.100998,79.307999,79.307999
2012-10-22,79.25,79.866997,79.209999,79.257004,79.257004
2012-10-23,79.976997,79.976997,79.705002,79.989998,79.989998
2012-10-24,79.832001,79.914001,79.700996,79.82,79.82
2012-10-25,79.82,80.325996,79.809998,79.837997,79.837997
2012-10-26,80.209,80.260002,79.487,80.235001,80.235001
2012-10-29,79.611,79.780998,79.530998,79.650002,79.650002
2012-10-30,79.764,79.994003,79.283997,79.764,79.764
2012-10-31,79.669998,79.949997,79.509003,79.683998,79.683998
2012-11-01,79.860001,80.164001,79.839996,79.860001,79.860001
2012-11-02,80.216003,80.664001,80.185997,80.220001,80.220001
2012-11-05,80.496002,80.561996,80.190002,80.5,80.5
2012-11-06,80.150002,80.310997,79.970001,80.160004,80.160004
